49.2333333,28.4833333,Віниця,384840
48.346432,38.059513,Горлівка,292250

48.45,34.9833333,Дніпро,1080846
48.0027778,37.8052778,Донецьк,1016194
50.259749,28.676248,Житомир,284236
47.853748,35.157139,Запоріжя,815256

47.488911,34.400761,Камяньске,255841
50.584981,30.235748,Київ,2611327
48.508389,32.264801,Кіровоград,254103
47.899726,33.379534,Кривый Ріг,709014
#dhfkllll;
48.573269,39.355659,Луганьск,463097
49.85,24.0166667,Львів,732818
48.076179,38.068427,Макіївка,389589
47.1166667,37.55,Маріуполь,492176
46.9666667,32.0,Миколаїв,514136
46.4666667,30.7333333,Одеса,1029049
#fdggfgg
49.59269,34.551159,Полтава,317998
44.60000001,33.533333343333,Севастополь,342451
44.9480556,34.1041667,Сімферополь,343644
50.910561,34.80566,Сумы,293141
49.98967,36.208309,Харків,1470902
46.653368,32.629424,Херсон,328360
49.4166667,27.0,Хмельницькый,253994
49.4333333,32.0666667,Черкасы,295414
51.503653,31.293167,Чернїгів,304994
